# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.045         	(0.000000e+00 2.220155e-01 0.000000e+00)	(0.000000e+00 2.220155e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.801468e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.046         	(0.000000e+00 2.268126e-01 0.000000e+00)	(0.000000e+00 2.268126e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.792608e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.047         	(0.000000e+00 2.316007e-01 0.000000e+00)	(0.000000e+00 2.316007e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.783560e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.048         	(0.000000e+00 2.363797e-01 0.000000e+00)	(0.000000e+00 2.363797e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.774322e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.049         	(0.000000e+00 2.411494e-01 0.000000e+00)	(0.000000e+00 2.411494e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.764896e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.05          	(0.000000e+00 2.459095e-01 0.000000e+00)	(0.000000e+00 2.459095e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.755282e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.051         	(0.000000e+00 2.506599e-01 0.000000e+00)	(0.000000e+00 2.506599e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.745480e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.052         	(0.000000e+00 2.554005e-01 0.000000e+00)	(0.000000e+00 2.554005e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.735491e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.053         	(0.000000e+00 2.601309e-01 0.000000e+00)	(0.000000e+00 2.601309e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.725314e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.054         	(0.000000e+00 2.648511e-01 0.000000e+00)	(0.000000e+00 2.648511e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.714952e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.055         	(0.000000e+00 2.695608e-01 0.000000e+00)	(0.000000e+00 2.695608e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.704403e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.056         	(0.000000e+00 2.742599e-01 0.000000e+00)	(0.000000e+00 2.742599e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.693668e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.057         	(0.000000e+00 2.789482e-01 0.000000e+00)	(0.000000e+00 2.789482e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.682748e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.058         	(0.000000e+00 2.836254e-01 0.000000e+00)	(0.000000e+00 2.836254e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.671644e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.059         	(0.000000e+00 2.882915e-01 0.000000e+00)	(0.000000e+00 2.882915e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.660354e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.06          	(0.000000e+00 2.929461e-01 0.000000e+00)	(0.000000e+00 2.929461e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.648881e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.061         	(0.000000e+00 2.975892e-01 0.000000e+00)	(0.000000e+00 2.975892e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.637225e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.062         	(0.000000e+00 3.022206e-01 0.000000e+00)	(0.000000e+00 3.022206e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.625385e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.063         	(0.000000e+00 3.068400e-01 0.000000e+00)	(0.000000e+00 3.068400e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.613362e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.064         	(0.000000e+00 3.114473e-01 0.000000e+00)	(0.000000e+00 3.114473e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.601158e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.065         	(0.000000e+00 3.160423e-01 0.000000e+00)	(0.000000e+00 3.160423e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.588772e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.066         	(0.000000e+00 3.206248e-01 0.000000e+00)	(0.000000e+00 3.206248e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.576204e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
