# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.05          	(0.000000e+00 2.461452e-01 0.000000e+00)	(0.000000e+00 2.461452e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.764751e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.051         	(0.000000e+00 2.509052e-01 0.000000e+00)	(0.000000e+00 2.509052e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.755128e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.052         	(0.000000e+00 2.556554e-01 0.000000e+00)	(0.000000e+00 2.556554e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.745317e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.053         	(0.000000e+00 2.603957e-01 0.000000e+00)	(0.000000e+00 2.603957e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.735318e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.054         	(0.000000e+00 2.651260e-01 0.000000e+00)	(0.000000e+00 2.651260e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.725131e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.055         	(0.000000e+00 2.698459e-01 0.000000e+00)	(0.000000e+00 2.698459e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.714758e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.056         	(0.000000e+00 2.745554e-01 0.000000e+00)	(0.000000e+00 2.745554e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.704198e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.057         	(0.000000e+00 2.792542e-01 0.000000e+00)	(0.000000e+00 2.792542e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.693452e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.058         	(0.000000e+00 2.839422e-01 0.000000e+00)	(0.000000e+00 2.839422e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.682520e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.059         	(0.000000e+00 2.886191e-01 0.000000e+00)	(0.000000e+00 2.886191e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.671403e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.06          	(0.000000e+00 2.932849e-01 0.000000e+00)	(0.000000e+00 2.932849e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.660101e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.061         	(0.000000e+00 2.979393e-01 0.000000e+00)	(0.000000e+00 2.979393e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.648615e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.062         	(0.000000e+00 3.025820e-01 0.000000e+00)	(0.000000e+00 3.025820e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.636944e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.063         	(0.000000e+00 3.072131e-01 0.000000e+00)	(0.000000e+00 3.072131e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.625091e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
